variable_id,variable,inspection_grade,ablation_screen_category,split,dose,primary_dose,intervention_kind,target_feature,intervention_feature,feature_high_side,steering_side,train_target_activation_gap,steering_coefficient,baseline_downstream_score,steered_downstream_score,mean_attenuation,attenuation_fraction,attenuation_ci_low,attenuation_ci_high,attenuation_bootstrap_p,mean_final_repr_cosine_to_baseline
1,Subject expression / pro-drop,C,specific_positive,val,0.5,False,target,8041,8041,changed,basis,0.007096752524375895,0.0035483762621879474,0.5333303213119507,0.5327165722846985,0.0006136980652809143,0.0011506903709717184,-0.0006223614886403083,0.001833092555403709,0.30484757621189407,0.9999993403672899
1,Subject expression / pro-drop,C,specific_positive,val,0.5,False,matched_control,8041,9728,changed,basis,0.007096752524375895,0.0035483762621879474,0.5333303213119507,0.5334445238113403,-0.00011416107416152954,-0.0002140532229270263,-0.0009662448540329933,0.0007802675142884255,0.816591704147926,0.9999993749443666
1,Subject expression / pro-drop,C,specific_positive,val,0.5,False,matched_control,8041,7247,changed,basis,0.007096752524375895,0.0035483762621879474,0.5333303213119507,0.5332090258598328,0.00012136667966842651,0.00022756380955403776,-0.0009198825806379317,0.0011390114650130269,0.8495752123938031,0.9999993696366516
1,Subject expression / pro-drop,C,specific_positive,val,0.5,False,matched_control,8041,1302,changed,basis,0.007096752524375895,0.0035483762621879474,0.5333303213119507,0.5335730910301208,-0.00024278968572616577,-0.0004552332316844882,-0.0014439411610364915,0.000878796227276324,0.657671164417791,0.9999993372608997
1,Subject expression / pro-drop,C,specific_positive,val,1.0,True,target,8041,8041,changed,basis,0.007096752524375895,0.007096752524375895,0.5333303213119507,0.5333676338195801,-3.734439611434936e-05,-7.002113816159015e-05,-0.0012908679470419882,0.0010877755507826803,0.9435282358820589,0.9999993356555176
1,Subject expression / pro-drop,C,specific_positive,val,1.0,True,matched_control,8041,9728,changed,basis,0.007096752524375895,0.007096752524375895,0.5333303213119507,0.5331222414970398,0.0002080988883972168,0.00039018761934500536,-0.000932530865073204,0.0013952876627445216,0.7106446776611695,0.9999993351936375
1,Subject expression / pro-drop,C,specific_positive,val,1.0,True,matched_control,8041,7247,changed,basis,0.007096752524375895,0.007096752524375895,0.5333303213119507,0.5342376828193665,-0.0009073999524116516,-0.001701384519409133,-0.0020963066071271897,0.00031855151802301395,0.15592203898050974,0.9999993446067488
1,Subject expression / pro-drop,C,specific_positive,val,1.0,True,matched_control,8041,1302,changed,basis,0.007096752524375895,0.007096752524375895,0.5333303213119507,0.5328772068023682,0.0004530516266822815,0.0008494765974824197,-0.0006606752499938012,0.0017152740731835336,0.4407796101949025,0.9999993246452621
1,Subject expression / pro-drop,C,specific_positive,val,2.0,False,target,8041,8041,changed,basis,0.007096752524375895,0.01419350504875179,0.5333303213119507,0.5338764190673828,-0.0005461493134498596,-0.0010240357460014184,-0.0019356310665607454,0.0007714138850569724,0.463768115942029,0.9999991873191018
1,Subject expression / pro-drop,C,specific_positive,val,2.0,False,matched_control,8041,9728,changed,basis,0.007096752524375895,0.01419350504875179,0.5333303213119507,0.5329674482345581,0.0003628170490264893,0.0006802858088660473,-0.0009515049159526826,0.001652527242898941,0.6026986506746627,0.9999992056564716
