variable_id,variable,selection_slot,selection_basis,train_effect,val_effect,specificity_rank,specificity_ratio,feature_id,top_examples,unique_top_tokens,unique_languages
31,subordination_and_embedding,5,train_fwer_plus_val_direction,0.954775094985962,0.9880829453468324,1,1.361009846938871,3830,20,1,1
35,focus_and_given_new_marking,5,train_fwer_plus_val_direction,0.6990575790405273,0.680551290512085,2,0.9818896635790686,3848,20,2,1
24,modality_and_mood,1,original_trainval_selected,0.4833943247795105,0.2077225446701049,1,2.194255023359247,3941,20,3,2
14,definiteness_and_specificity,2,train_fwer_plus_val_direction,-0.5475464463233948,-0.6267436742782593,1,1.2709199011548786,3973,20,5,2
33,discourse_relation_marking,3,train_fwer_only,-0.881783127784729,0.170199766755104,3,0.9345856751621404,4016,20,3,1
9,analytic_vs_synthetic_encoding,3,train_fwer_plus_val_direction,-0.6539031863212585,-0.0279369615018367,1,1.1334494126262422,4222,20,3,3
18,person_marking_and_person_hierarchy,4,train_fwer_plus_val_direction,-0.3898487091064453,-0.4653686285018921,1,1.037777815152824,4252,20,7,2
24,modality_and_mood,5,train_fwer_plus_val_direction,0.5676253437995911,0.528778612613678,3,0.7789957983416681,4257,20,1,2
6,transitivity_valency,5,train_fwer_plus_val_direction,-0.9112589359283448,-0.937731385231018,2,0.9619584291984978,4332,20,4,3
28,negation_and_polarity_structure,1,original_trainval_selected,0.6044781804084778,0.2816453576087951,1,2.149028944139654,4382,20,6,6
19,inclusive_exclusive_distinction,3,train_fwer_plus_val_direction,-0.7677212357521057,-0.1889871954917907,1,2.4062624876396304,4396,20,3,3
3,nominal_modifier_order,1,original_trainval_selected,-0.5660698413848877,-0.0763282254338264,1,1.6708524437274963,4426,20,1,1
8,causativity_and_valency_change,3,train_fwer_plus_val_direction,0.8628992438316345,0.8820226788520813,2,0.9696497336737088,4441,20,16,8
5,morphosyntactic_alignment,5,train_fwer_plus_val_direction,-0.6916614174842834,-0.669039249420166,10,0.7292424569113822,4605,20,3,3
13,redundancy_cumulative_exponence,3,train_fwer_plus_val_direction,0.7049897313117981,0.9284691214561462,1,2.6598125883281427,4814,20,12,1
18,person_marking_and_person_hierarchy,2,train_fwer_plus_val_direction,0.4248586297035217,0.400773286819458,1,1.1378117243878847,4828,20,7,5
23,aspect_and_event_structure,2,train_fwer_plus_val_direction,-0.6932970881462097,-0.2390174716711044,1,1.474697072449425,4874,20,12,1
39,deixis_and_perspective_anchoring,5,train_fwer_only,0.6888219714164734,-0.4088878333568573,3,0.8252463131928697,4923,20,2,6
16,gender_noun_class,1,original_trainval_selected,0.8970929384231567,0.9079066514968872,1,1.578482198039567,5205,20,6,4
6,transitivity_valency,1,original_trainval_selected,0.938974380493164,0.8023737668991089,1,1.2441249215974397,5382,20,1,1
19,inclusive_exclusive_distinction,5,train_fwer_plus_val_direction,0.8319265246391296,0.6296933889389038,1,1.7697635475581894,5487,20,4,3
32,quotation_and_reported_speech_structure,2,train_fwer_plus_val_direction,-0.806846559047699,-0.7858017683029175,1,2.5197638838048313,5496,20,3,2
16,gender_noun_class,5,train_fwer_plus_val_direction,-0.918435513973236,-0.9326638579368592,1,1.0060284176686554,5680,20,4,3
38,speech_act_force_and_request_directness,2,train_fwer_plus_val_direction,0.4508524239063263,0.7154470086097717,1,1.1261040911602511,5707,20,10,6
36,genericity_and_kind_level_reference,1,original_trainval_selected,0.3723295629024505,0.2329976558685302,2,0.6125380761530906,5836,20,15,5
37,social_deixis_honorifics_status_encoding,2,train_fwer_plus_val_direction,0.7618224620819092,0.0650571286678314,1,2.6226364357247074,6025,20,6,4
25,epistemic_modality,4,train_fwer_plus_val_direction,-0.6030189394950867,-0.318779319524765,1,1.4660250843397271,6029,20,3,2
27,mirativity_stance_and_affect_marking,2,train_fwer_plus_val_direction,-0.9607529044151306,-0.9862663745880128,1,1.057739432864959,6043,20,5,6
19,inclusive_exclusive_distinction,1,original_trainval_selected,-0.8535889983177185,-0.4935387074947357,1,3.526197457348338,6062,20,2,2
