variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,train_cohen_dz,val_cohen_dz,test_cohen_dz,train_nonzero_fraction,val_nonzero_fraction,test_nonzero_fraction,train_direction_fraction,val_direction_fraction,test_direction_fraction,val_same_direction,test_same_direction
1,Subject expression / pro-drop,mean,1,8431,0.8691208362579346,0.10111186653375626,-0.24833622574806213,1.7550227642059326,0.10061125457286835,-0.25379061698913574,1.0,1.0,1.0,0.9625,0.56,0.64,True,False
1,Subject expression / pro-drop,mean,2,8041,0.863140881061554,0.9623317718505859,0.9698030352592468,1.7071770429611206,3.50399112701416,3.9364330768585205,1.0,1.0,1.0,1.0,1.0,1.0,True,True
1,Subject expression / pro-drop,mean,3,10169,0.8559886813163757,0.9625152349472046,0.9670958518981934,1.6536327600479126,3.513061046600342,3.763090133666992,1.0,1.0,1.0,1.0,1.0,1.0,True,True
1,Subject expression / pro-drop,mean,4,587,0.8547830581665039,0.9587790369987488,0.9689375758171082,1.6449683904647827,3.3402554988861084,3.878596067428589,1.0,1.0,1.0,1.0,1.0,1.0,True,True
1,Subject expression / pro-drop,mean,5,1175,0.8547700047492981,0.9586631655693054,0.9680838584899902,1.6448736190795898,3.335261821746826,3.8238284587860107,1.0,1.0,1.0,1.0,1.0,1.0,True,True
1,Subject expression / pro-drop,mean,6,15659,0.8508999347686768,0.9474011659622192,0.9491647481918335,1.6177265644073486,2.9304263591766357,2.9850211143493652,1.0,1.0,1.0,0.99,1.0,1.0,True,True
1,Subject expression / pro-drop,mean,7,3024,0.8477429747581482,0.9618109464645386,0.9682565331459045,1.5962896347045898,3.4785990715026855,3.8347327709198,1.0,1.0,1.0,1.0,1.0,1.0,True,True
1,Subject expression / pro-drop,mean,8,2703,0.8464353084564209,0.9644036889076233,0.9681549072265625,1.5875883102416992,3.610387086868286,3.8283042907714844,1.0,1.0,1.0,1.0,1.0,1.0,True,True
1,Subject expression / pro-drop,mean,9,2389,0.8462267518043518,0.9596312046051025,0.9669816493988037,1.5862096548080444,3.3775863647460938,3.756232500076294,1.0,1.0,1.0,0.9925,1.0,1.0,True,True
1,Subject expression / pro-drop,mean,10,14916,0.8452153205871582,0.9601441621780396,0.9677879214286804,1.5795634984970093,3.400632619857788,3.8053414821624756,1.0,1.0,1.0,0.98,1.0,1.0,True,True
