variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,val_same_direction,test_same_direction,p_unadjusted,p_maxT,train_fwer_significant,holdout_direction_survival,full_survival
1,Subject expression / pro-drop,mean,1,8431,0.8691208362579346,0.10111186653375626,-0.24833622574806213,True,False,0.0004997501249375312,0.0004997501249375312,True,False,False
1,Subject expression / pro-drop,mean,2,8041,0.863140881061554,0.9623317718505859,0.9698030352592468,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,3,10169,0.8559886813163757,0.9625152349472046,0.9670958518981934,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,4,587,0.8547830581665039,0.9587790369987488,0.9689375758171082,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,5,1175,0.8547700047492981,0.9586631655693054,0.9680838584899902,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,6,15659,0.8508999347686768,0.9474011659622192,0.9491647481918335,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,7,3024,0.8477429747581482,0.9618109464645386,0.9682565331459045,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,8,2703,0.8464353084564209,0.9644036889076233,0.9681549072265625,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,9,2389,0.8462267518043518,0.9596312046051025,0.9669816493988037,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,10,14916,0.8452153205871582,0.9601441621780396,0.9677879214286804,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,11,13175,0.8450655341148376,0.9583470225334167,0.9686412215232849,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,12,604,0.8442023396492004,0.9600869417190552,0.9680061936378479,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,13,9375,0.8439128994941711,0.9630271196365356,0.9682308435440063,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,14,981,0.8437371253967285,0.9581711292266846,0.970833957195282,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,15,5694,0.843275249004364,0.96160888671875,0.9684674143791199,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,16,8792,0.842745304107666,0.9608463048934937,0.9704609513282776,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,17,10770,0.8413940072059631,0.959989070892334,0.9700425267219543,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,18,13390,0.8413236141204834,0.9599956274032593,0.968451201915741,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,19,10331,0.840677797794342,0.9643188714981079,0.9684593081474304,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
1,Subject expression / pro-drop,mean,20,15975,0.8405076861381531,0.9559950232505798,0.964759886264801,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
