variable_id,variable,pooling,feature_id,field,split,eligible_groups,same_direction_fraction,weighted_same_direction_fraction,median_abs_effect,minimum_abs_effect,unseen_groups,unseen_same_direction_fraction,unseen_median_abs_effect
4,case_marking,final,4731,marker_family,train,3,1.0,1.0,0.17344433886855523,0.13384390099482354,0,,
4,case_marking,final,4731,marker_family,val,1,1.0,1.0,0.6020776121924394,0.6020776121924394,1,1.0,0.6020776121924394
4,case_marking,final,4731,marker_family,test,2,0.5,0.5,0.306446888592355,0.18691763436985653,2,0.5,0.306446888592355
4,case_marking,final,4731,lexical_domain,train,6,1.0,1.0,0.16274833968136906,0.03615734499694177,0,,
4,case_marking,final,4731,lexical_domain,val,2,1.0,1.0,0.6012188096117934,0.5943806408354837,2,1.0,0.6012188096117934
4,case_marking,final,4731,lexical_domain,test,3,0.3333333333333333,0.28,0.2672612615056739,0.13700578428666682,3,0.3333333333333333,0.2672612615056739
5,morphosyntactic_alignment,mean,7247,marker_family,train,3,1.0,1.0,0.7793236753054059,0.6402716795928322,0,,
5,morphosyntactic_alignment,mean,7247,marker_family,val,1,1.0,1.0,0.692501634653507,0.692501634653507,1,1.0,0.692501634653507
5,morphosyntactic_alignment,mean,7247,marker_family,test,2,1.0,1.0,0.7155535576669401,0.5374117130402848,2,1.0,0.7155535576669401
5,morphosyntactic_alignment,mean,7247,lexical_domain,train,6,1.0,1.0,0.7037636759677469,0.651238996633954,0,,
5,morphosyntactic_alignment,mean,7247,lexical_domain,val,2,1.0,1.0,0.6930316628044577,0.674293344878944,2,1.0,0.6930316628044577
5,morphosyntactic_alignment,mean,7247,lexical_domain,test,3,1.0,1.0,0.6530104607310491,0.6034132680085736,3,1.0,0.6530104607310491
5,morphosyntactic_alignment,final,5159,marker_family,train,3,1.0,1.0,0.7231717609959469,0.5673495526821578,0,,
5,morphosyntactic_alignment,final,5159,marker_family,val,1,1.0,1.0,0.7016226656506134,0.7016226656506134,1,1.0,0.7016226656506134
5,morphosyntactic_alignment,final,5159,marker_family,test,2,1.0,1.0,0.5500605152486947,0.3435744783158524,2,1.0,0.5500605152486947
5,morphosyntactic_alignment,final,5159,lexical_domain,train,6,1.0,1.0,0.6554706519350509,0.6240754755666246,0,,
5,morphosyntactic_alignment,final,5159,lexical_domain,val,2,1.0,1.0,0.7020002516126407,0.6977235312220704,2,1.0,0.7020002516126407
5,morphosyntactic_alignment,final,5159,lexical_domain,test,3,1.0,1.0,0.5380815557714776,0.46819011036490055,3,1.0,0.5380815557714776
6,transitivity_valency,mean,5382,marker_family,train,3,1.0,1.0,0.952401974345604,0.9361324617931659,0,,
6,transitivity_valency,mean,5382,marker_family,val,2,1.0,1.0,0.853815694611527,0.7394154277106151,2,1.0,0.853815694611527
6,transitivity_valency,mean,5382,marker_family,test,2,0.5,0.5,0.7691434326417522,0.6354864864610167,2,0.5,0.7691434326417522
6,transitivity_valency,mean,5382,lexical_domain,train,6,1.0,1.0,0.946235812410952,0.9180043570179109,0,,
6,transitivity_valency,mean,5382,lexical_domain,val,2,1.0,1.0,0.8246143393675294,0.8059064469727583,2,1.0,0.8246143393675294
6,transitivity_valency,mean,5382,lexical_domain,test,3,0.6666666666666666,0.68,0.17458661378937546,0.06904136048218545,3,0.6666666666666666,0.17458661378937546
6,transitivity_valency,final,4825,marker_family,train,3,1.0,1.0,0.9134822420814659,0.7393597783950145,0,,
6,transitivity_valency,final,4825,marker_family,val,2,1.0,1.0,0.7240962692299656,0.6951337429811053,2,1.0,0.7240962692299656
6,transitivity_valency,final,4825,marker_family,test,2,1.0,1.0,0.8487297918854351,0.8400288253294426,2,1.0,0.8487297918854351
6,transitivity_valency,final,4825,lexical_domain,train,6,1.0,1.0,0.8380258604015064,0.7949024145168844,0,,
6,transitivity_valency,final,4825,lexical_domain,val,2,1.0,1.0,0.6205391011307317,0.3593233338192599,2,1.0,0.6205391011307317
6,transitivity_valency,final,4825,lexical_domain,test,3,1.0,1.0,0.8672270903610316,0.8016785778027476,3,1.0,0.8672270903610316
7,voice_and_agent_prominence,mean,8235,marker_family,train,3,1.0,1.0,0.8768336587044391,0.7737230567392294,0,,
7,voice_and_agent_prominence,mean,8235,marker_family,val,1,1.0,1.0,0.9214052352457713,0.9214052352457713,1,1.0,0.9214052352457713
7,voice_and_agent_prominence,mean,8235,marker_family,test,2,0.5,0.5,0.6132814429600373,0.2980943357527911,2,0.5,0.6132814429600373
7,voice_and_agent_prominence,mean,8235,lexical_domain,train,6,1.0,1.0,0.8727001363341738,0.7779592288932127,0,,
7,voice_and_agent_prominence,mean,8235,lexical_domain,val,2,1.0,1.0,0.9238817890422493,0.9179245451365616,2,1.0,0.9238817890422493
7,voice_and_agent_prominence,mean,8235,lexical_domain,test,3,1.0,1.0,0.6340340163220339,0.6093435412456171,3,1.0,0.6340340163220339
7,voice_and_agent_prominence,final,8074,marker_family,train,3,1.0,1.0,0.5391278384624048,0.4273707769125247,0,,
7,voice_and_agent_prominence,final,8074,marker_family,val,1,1.0,1.0,0.5827828053439623,0.5827828053439623,1,1.0,0.5827828053439623
7,voice_and_agent_prominence,final,8074,marker_family,test,2,1.0,1.0,0.19999999401772525,0.1999999880354505,2,1.0,0.19999999401772525
7,voice_and_agent_prominence,final,8074,lexical_domain,train,6,1.0,1.0,0.5553881953060977,0.23315217557472576,0,,
7,voice_and_agent_prominence,final,8074,lexical_domain,val,2,1.0,1.0,0.6039859139450927,0.5564710896434153,2,1.0,0.6039859139450927
7,voice_and_agent_prominence,final,8074,lexical_domain,test,3,0.6666666666666666,0.68,0.2357022552900026,0.0,3,0.6666666666666666,0.2357022552900026
8,causativity_and_valency_change,mean,8182,marker_family,train,3,1.0,1.0,0.9546177088157319,0.8596102875312636,0,,
8,causativity_and_valency_change,mean,8182,marker_family,val,2,1.0,1.0,0.9451768909236449,0.943337386604138,2,1.0,0.9451768909236449
8,causativity_and_valency_change,mean,8182,marker_family,test,2,1.0,1.0,0.7771093070991246,0.6797262225419892,2,1.0,0.7771093070991246
8,causativity_and_valency_change,mean,8182,lexical_domain,train,6,1.0,1.0,0.8933068630483477,0.8602175458004362,0,,
8,causativity_and_valency_change,mean,8182,lexical_domain,val,2,1.0,1.0,0.9345727955217019,0.9234104091756122,2,1.0,0.9345727955217019
8,causativity_and_valency_change,mean,8182,lexical_domain,test,3,1.0,1.0,0.7983373833815806,0.7504630416262589,3,1.0,0.7983373833815806
8,causativity_and_valency_change,final,3288,marker_family,train,3,1.0,1.0,0.8320958892151193,0.8125291532528983,0,,
8,causativity_and_valency_change,final,3288,marker_family,val,2,1.0,1.0,0.8840943174893826,0.8146920149945366,2,1.0,0.8840943174893826
8,causativity_and_valency_change,final,3288,marker_family,test,2,1.0,1.0,0.7476645244516285,0.590864025477527,2,1.0,0.7476645244516285
8,causativity_and_valency_change,final,3288,lexical_domain,train,6,1.0,1.0,0.8525857143133864,0.7348751132809818,0,,
8,causativity_and_valency_change,final,3288,lexical_domain,val,2,1.0,1.0,0.8860130740671283,0.8807830843424745,2,1.0,0.8860130740671283
8,causativity_and_valency_change,final,3288,lexical_domain,test,3,1.0,1.0,0.7314946599439159,0.7087001703456458,3,1.0,0.7314946599439159
9,analytic_vs_synthetic_encoding,mean,6579,marker_family,train,3,1.0,1.0,0.29349362717577293,0.13732825197825302,0,,
9,analytic_vs_synthetic_encoding,mean,6579,marker_family,val,1,1.0,1.0,0.5613006249760009,0.5613006249760009,1,1.0,0.5613006249760009
9,analytic_vs_synthetic_encoding,mean,6579,marker_family,test,2,0.5,0.5,0.46488210240507855,0.2,2,0.5,0.46488210240507855
9,analytic_vs_synthetic_encoding,mean,6579,lexical_domain,train,6,1.0,1.0,0.5102103836938969,0.28661403336864494,0,,
9,analytic_vs_synthetic_encoding,mean,6579,lexical_domain,val,2,1.0,1.0,0.5508438708357523,0.4231028765220264,2,1.0,0.5508438708357523
9,analytic_vs_synthetic_encoding,mean,6579,lexical_domain,test,3,1.0,1.0,0.4630598065429954,0.33624946040286946,3,1.0,0.4630598065429954
9,analytic_vs_synthetic_encoding,final,9565,marker_family,train,3,1.0,1.0,0.21338280869513343,0.026311702646804536,0,,
9,analytic_vs_synthetic_encoding,final,9565,marker_family,val,1,1.0,1.0,0.43757955337208654,0.43757955337208654,1,1.0,0.43757955337208654
9,analytic_vs_synthetic_encoding,final,9565,marker_family,test,2,0.5,0.5,0.3939947877055515,0.2,2,0.5,0.3939947877055515
9,analytic_vs_synthetic_encoding,final,9565,lexical_domain,train,6,1.0,1.0,0.26400480012811467,0.2117328377507992,0,,
9,analytic_vs_synthetic_encoding,final,9565,lexical_domain,val,2,1.0,1.0,0.4262325526421024,0.24049140417959655,2,1.0,0.4262325526421024
9,analytic_vs_synthetic_encoding,final,9565,lexical_domain,test,3,0.6666666666666666,0.68,0.4277385180385694,0.11870038503883316,3,0.6666666666666666,0.4277385180385694
10,morphological_segmentation_type,mean,6125,marker_family,train,3,1.0,1.0,0.6839108582551965,0.5625826230252252,0,,
10,morphological_segmentation_type,mean,6125,marker_family,val,1,1.0,1.0,0.5309546814144129,0.5309546814144129,1,1.0,0.5309546814144129
10,morphological_segmentation_type,mean,6125,marker_family,test,2,1.0,1.0,0.4700942684429071,0.45619455067031484,2,1.0,0.4700942684429071
10,morphological_segmentation_type,mean,6125,lexical_domain,train,6,1.0,1.0,0.7112255971663143,0.6285497066319653,0,,
10,morphological_segmentation_type,mean,6125,lexical_domain,val,2,1.0,1.0,0.5291970960224355,0.4859170890793304,2,1.0,0.5291970960224355
10,morphological_segmentation_type,mean,6125,lexical_domain,test,3,1.0,1.0,0.4669464150843466,0.3538285898045325,3,1.0,0.4669464150843466
10,morphological_segmentation_type,final,11611,marker_family,train,3,1.0,1.0,0.8426641364562469,0.5631495770772222,0,,
10,morphological_segmentation_type,final,11611,marker_family,val,1,1.0,1.0,0.8419868553540921,0.8419868553540921,1,1.0,0.8419868553540921
10,morphological_segmentation_type,final,11611,marker_family,test,2,1.0,1.0,0.5512145309837579,0.3364568864850987,2,1.0,0.5512145309837579
10,morphological_segmentation_type,final,11611,lexical_domain,train,6,1.0,1.0,0.892207314029027,0.5425952756761575,0,,
10,morphological_segmentation_type,final,11611,lexical_domain,val,2,1.0,1.0,0.8454769098151069,0.8262617425649861,2,1.0,0.8454769098151069
10,morphological_segmentation_type,final,11611,lexical_domain,test,3,1.0,1.0,0.5781773523885351,0.4615002510604443,3,1.0,0.5781773523885351
11,agreement_indexing_density,mean,758,marker_family,train,3,1.0,1.0,0.8447684750699135,0.7906170571594221,0,,
11,agreement_indexing_density,mean,758,marker_family,val,1,1.0,1.0,0.8179236273558225,0.8179236273558225,1,1.0,0.8179236273558225
11,agreement_indexing_density,mean,758,marker_family,test,2,0.5,0.5,0.534939745121956,0.11081487620238255,2,0.5,0.534939745121956
11,agreement_indexing_density,mean,758,lexical_domain,train,6,1.0,1.0,0.8552417147372777,0.7331482503119139,0,,
11,agreement_indexing_density,mean,758,lexical_domain,val,2,1.0,1.0,0.8295184703499715,0.8163218430889875,2,1.0,0.8295184703499715
11,agreement_indexing_density,mean,758,lexical_domain,test,3,1.0,1.0,0.6740269453492214,0.6708906521668353,3,1.0,0.6740269453492214
11,agreement_indexing_density,final,8113,marker_family,train,3,1.0,1.0,0.8908389150750862,0.8708365341984248,0,,
11,agreement_indexing_density,final,8113,marker_family,val,1,1.0,1.0,0.6696402197752138,0.6696402197752138,1,1.0,0.6696402197752138
11,agreement_indexing_density,final,8113,marker_family,test,2,1.0,1.0,0.6485300019654863,0.33794541537732414,2,1.0,0.6485300019654863
11,agreement_indexing_density,final,8113,lexical_domain,train,6,1.0,1.0,0.8585214228743566,0.8432719661960436,0,,
11,agreement_indexing_density,final,8113,lexical_domain,val,2,1.0,1.0,0.6675635057211715,0.60985874177302,2,1.0,0.6675635057211715
11,agreement_indexing_density,final,8113,lexical_domain,test,3,1.0,1.0,0.7047355677488378,0.691714766907667,3,1.0,0.7047355677488378
12,optionality_vs_obligatoriness_of_marking,mean,9607,marker_family,train,3,1.0,1.0,0.45519819371180453,0.1883432640774772,0,,
12,optionality_vs_obligatoriness_of_marking,mean,9607,marker_family,val,1,1.0,1.0,0.5193761825587443,0.5193761825587443,1,1.0,0.5193761825587443
12,optionality_vs_obligatoriness_of_marking,mean,9607,marker_family,test,2,0.5,0.5,0.5726569776335698,0.3200536645739867,2,0.5,0.5726569776335698
