variable_id,variable,pooling,top_feature,top_train_effect,top_val_effect,top_test_effect,top_p_maxT,top_holdout_survival,q_all_80,q_within_pooling_40
1,Subject expression / pro-drop,mean,8431,0.8691208362579346,0.10111186653375626,-0.24833622574806213,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
1,Subject expression / pro-drop,final,4441,-0.7896255254745483,-0.9286953210830688,-0.9507593512535095,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
2,basic_constituent_order,mean,13034,0.8540453910827637,0.8213565349578857,0.0812341496348381,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
2,basic_constituent_order,final,12178,0.7508994340896606,0.7663952112197876,0.3681265711784363,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
3,nominal_modifier_order,mean,8006,0.6698550581932068,0.2563788890838623,0.17448927462100983,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
3,nominal_modifier_order,final,13304,0.4804600775241852,-0.605016827583313,0.10243310779333115,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
4,case_marking,mean,3290,-0.7586350440979004,-0.5690845847129822,-0.8547938466072083,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
4,case_marking,final,6102,0.545896589756012,0.06415703892707825,0.43638578057289124,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
5,morphosyntactic_alignment,mean,7247,-0.6954706907272339,-0.6925016641616821,-0.6649801731109619,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
5,morphosyntactic_alignment,final,164,0.7035923600196838,0.7398418188095093,0.5844929814338684,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
6,transitivity_valency,mean,5382,0.9389743804931641,0.8023737668991089,0.07523857802152634,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
6,transitivity_valency,final,164,0.9021463394165039,0.908086895942688,0.9524035453796387,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
7,voice_and_agent_prominence,mean,13189,0.9563233852386475,0.9921397566795349,0.7009090185165405,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
7,voice_and_agent_prominence,final,15282,-0.7936728000640869,-0.8576043844223022,-0.8378788232803345,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
8,causativity_and_valency_change,mean,164,0.9175019264221191,0.9380320906639099,0.8658102750778198,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
8,causativity_and_valency_change,final,9465,0.887403666973114,0.937300980091095,0.8022347688674927,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
9,analytic_vs_synthetic_encoding,mean,4222,-0.6539031863212585,-0.027936961501836777,-0.6511951684951782,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
9,analytic_vs_synthetic_encoding,final,8182,-0.6535886526107788,-0.9328746795654297,-0.7918843030929565,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
10,morphological_segmentation_type,mean,8511,0.8612515330314636,0.00969118531793356,0.593647301197052,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
10,morphological_segmentation_type,final,14795,0.8072977662086487,0.6297861933708191,0.6836231350898743,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
11,agreement_indexing_density,mean,13837,0.9742085933685303,0.9890480041503906,0.7049903869628906,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
11,agreement_indexing_density,final,8003,0.8795605897903442,0.8985247015953064,0.3101375102996826,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
12,optionality_vs_obligatoriness_of_marking,mean,13154,-0.5067944526672363,-0.9049288034439087,-0.24896688759326935,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
12,optionality_vs_obligatoriness_of_marking,final,1838,0.4003828167915344,0.3713047206401825,-0.09483137726783752,0.0004997501249375312,False,0.0004997501249375312,0.0004997501249375312
13,redundancy_cumulative_exponence,mean,14465,0.8983970880508423,0.7192783355712891,0.5336946845054626,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
13,redundancy_cumulative_exponence,final,16084,0.6644747853279114,0.6714550256729126,0.6889638304710388,0.0004997501249375312,True,0.0004997501249375312,0.0004997501249375312
