variable_id,variable,primary_mechanistic,inspection_grade,ablation_category,steering_category,split,dose,primary_dose,intervention_kind,target_feature,intervention_feature,feature_high_side,train_target_activation_gap,steering_coefficient,n_pairs,bos_fallback_pairs,baseline_mean_logit_margin,steered_mean_logit_margin,mean_behavioral_effect,behavioral_effect_ci_low,behavioral_effect_ci_high,behavioral_effect_bootstrap_p,baseline_high_token_preference_rate,steered_high_token_preference_rate,high_token_preference_rate_change
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,0.5,False,target,8041,8041,changed,0.0070967525243758,0.0035483762621879,50,0,-1.6348273468017578,-1.6350089645385741,-0.00018161773681640625,-0.00037624645233154294,2.767562866210823e-06,0.0559720139930035,0.3,0.3,0.0
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,0.5,False,matched_control,8041,9728,changed,0.0070967525243758,0.0035483762621879,50,0,-1.6348273468017578,-1.6344216537475587,0.00040569305419921873,0.00014158916473388673,0.0006747341156005858,0.001999000499750125,0.3,0.3,0.0
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,0.5,False,matched_control,8041,7247,changed,0.0070967525243758,0.0035483762621879,50,0,-1.6348273468017578,-1.6351222610473632,-0.00029491424560546876,-0.0006694850921630859,8.291339874267568e-05,0.1539230384807596,0.3,0.3,0.0
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,0.5,False,matched_control,8041,1302,changed,0.0070967525243758,0.0035483762621879,50,0,-1.6348273468017578,-1.6350782012939453,-0.0002508544921875,-0.0004955158233642578,6.927490234374875e-06,0.05897051474262868,0.3,0.3,0.0
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,0.5,False,target_vs_controls,8041,-1,changed,0.0070967525243758,,50,0,-1.6348273468017578,,-0.00013492584228515624,-0.00042332363128662104,0.00016299597422281901,0.3698150924537731,0.3,,
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,1.0,True,target,8041,8041,changed,0.0070967525243758,0.0070967525243758,50,0,-1.6348273468017578,-1.635195198059082,-0.0003678512573242188,-0.0007366580963134766,3.624248504638608e-05,0.07796101949025487,0.3,0.3,0.0
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,1.0,True,matched_control,8041,9728,changed,0.0070967525243758,0.0070967525243758,50,0,-1.6348273468017578,-1.634011344909668,0.0008160018920898437,0.0002788715362548828,0.0013310680389404296,0.0069965017491254375,0.3,0.3,0.0
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,1.0,True,matched_control,8041,7247,changed,0.0070967525243758,0.0070967525243758,50,0,-1.6348273468017578,-1.6354152297973632,-0.0005878829956054688,-0.0013591413497924805,0.00016019630432128856,0.1359320339830085,0.3,0.3,0.0
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,1.0,True,matched_control,8041,1302,changed,0.0070967525243758,0.0070967525243758,50,0,-1.6348273468017578,-1.6353299331665039,-0.0005025863647460938,-0.0010092668533325196,2.224826812744136e-05,0.05897051474262868,0.3,0.3,0.0
1,Subject expression / pro-drop,False,C,specific_positive,positive_control_advantage,val,1.0,True,target_vs_controls,8041,-1,changed,0.0070967525243758,,50,0,-1.6348273468017578,,-0.0002763621012369792,-0.0008679812749226888,0.0002835696538289382,0.3728135932033983,0.3,,
