variable_id,variable,sae_tier,sae_feature_id,sae_train_effect,sae_validation_effect,sae_test_effect,sae_specificity_rank,sae_specificity_ratio,sae_marker_direction,sae_domain_direction,probe_l12_delta_val_auroc,probe_l12_delta_test_auroc,probe_l12_sentence_val_auroc,probe_l12_sentence_test_auroc,probe_best_sentence_test_auroc,probe_best_sentence_layer,probe_text_test_auroc,probe_activation_minus_text,probe_delta_direction_test_auroc,probe_split_control_strength,probe_seed_count,probe_level1_pass_count,probe_level3_pass_count,probe_level4_pass_count,probe_core_134_pass_count,probe_core_status,probe_learned_direction_viability_status,combined_category
16,gender_noun_class,A,5205,0.8970929384231567,0.9079066514968872,0.9085553884506226,1,1.5784821980395667,1.0,1.0,1.0,1.0,0.9972000000000001,0.8023999999999999,0.867,0,0.901,-0.034,0.988,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
17,animacy_and_humanness,C,3104,0.4994560480117798,0.5734819173812866,0.03527933359146118,2,0.8648513024351094,0.5,0.3333333333333333,1.0,0.9948,0.6987999999999999,0.8311999999999999,0.793,12,0.543,0.25,0.925,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,not_run,probe_robust_SAE_weak_or_unstable
18,person_marking_and_person_hierarchy,B2,13235,0.37755656242370605,0.20801372826099396,0.26984357833862305,1,1.1536329153783713,0.5,0.6666666666666666,0.8979999999999999,0.8644000000000001,0.6776,0.6267999999999999,0.678,9,0.764,-0.087,0.821,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,not_run,convergent_probe_and_sparse_SAE
19,inclusive_exclusive_distinction,B2,6062,-0.8535889983177185,-0.4935387074947357,-0.023348644375801086,1,3.526197457348338,0.5,0.6666666666666666,0.9684,0.9159999999999999,0.8684,0.728,0.744,11,0.631,0.112,0.91,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
20,pronoun_richness_and_reduction,A,7551,-0.8233422636985779,-0.8004065752029419,-0.80997234582901,1,1.5176888756653228,1.0,1.0,1.0,1.0,0.992,0.922,0.922,12,0.832,0.09,1.0,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,passed,convergent_probe_and_sparse_SAE
21,possession_and_alienability,A,9576,0.4911506474018097,0.5159186720848083,0.5078165531158447,1,1.2205696096828624,1.0,1.0,0.9096,0.98,0.8268,0.7208,0.728,15,0.846,-0.119,0.874,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,not_run,convergent_probe_and_sparse_SAE
22,tense_prominence,D,1385,-0.39607158303260803,-0.13822416961193085,0.0,2,0.9411945546796855,0.0,0.0,0.6504,0.844,0.6424,0.6632,0.662,5,0.668,-0.006,0.925,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,not_run,probe_robust_SAE_weak_or_unstable
23,aspect_and_event_structure,D,6216,-0.7045249938964844,-0.259358674287796,0.29094454646110535,1,1.876893253709653,0.5,0.0,0.7692,0.404,0.668,0.4908,0.47,14,0.339,0.13,0.384,strong_test_marker_and_domain_holdout,3,0,0,0,0,no_core_pass_0of3,not_run,both_weak_or_unstable
24,modality_and_mood,C,3941,0.4833943247795105,0.20772254467010498,0.1414213478565216,1,2.194255023359247,0.5,0.3333333333333333,0.632,0.9199999999999999,0.6048,0.6688000000000002,0.638,21,0.535,0.103,0.744,strong_test_marker_and_domain_holdout,3,0,3,0,0,no_core_pass_0of3,not_run,both_weak_or_unstable
25,epistemic_modality,B2,15221,0.7695838212966919,0.5663724541664124,0.5904353857040405,1,2.197882324242896,1.0,0.6666666666666666,0.8679999999999999,0.9308,0.7468,0.7132,0.724,10,0.66,0.064,0.752,strong_test_marker_and_domain_holdout,3,3,3,3,3,robust_3of3,not_run,convergent_probe_and_sparse_SAE
