variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,p_maxT,train_fwer_significant,val_same_direction,target_train_abs_effect,max_other_variable_abs_effect,target_rank_among_40_variables,specificity_ratio_vs_max_other,specificity_margin,specificity_z_vs_other_variables,target_share_of_feature_abs_effect
4,case_marking,mean,8,9071,0.5862047672271729,0.7269218564033508,0.0004997501249375,True,True,0.5862047672271729,0.3394128680229187,1,1.7271141505088417,0.2467918992042541,5.166119736174016,0.1221991778652716
4,case_marking,mean,23,9920,-0.4803972542285919,-0.4313595294952392,0.0004997501249375,True,True,0.4803972542285919,0.2825664281845093,1,1.7001214805139686,0.1978308260440826,4.19899855606823,0.0930135850682807
4,case_marking,mean,13,3534,0.5401284694671631,0.6634310483932495,0.0004997501249375,True,True,0.5401284694671631,0.4446738362312317,1,1.2146621308888852,0.0954546332359314,4.376876119204188,0.1110077756803611
10,morphological_segmentation_type,mean,16,15843,0.7314246892929077,0.3352487087249756,0.0004997501249375,True,True,0.7314246892929077,0.3383853137493133,1,2.1615142843781054,0.3930393755435943,8.19638266253921,0.2338510555685533
10,morphological_segmentation_type,mean,15,8119,-0.7315304279327393,-0.6426119208335876,0.0004997501249375,True,True,0.7315304279327393,0.3544082641601562,1,2.0640896443717307,0.377122163772583,7.270425039143945,0.1272914237040702
10,morphological_segmentation_type,mean,5,16361,-0.7973324060440063,-0.5562032461166382,0.0004997501249375,True,True,0.7973324060440063,0.3915153443813324,1,2.036529136051975,0.4058170616626739,8.434125891526397,0.1795604656502275
13,redundancy_cumulative_exponence,mean,25,11745,0.6320487260818481,0.6974450945854187,0.0004997501249375,True,True,0.6320487260818481,0.2305428385734558,1,2.741567380677774,0.4015058875083923,7.725812788070378,0.1590695909048172
13,redundancy_cumulative_exponence,mean,11,4814,0.7049897313117981,0.9284691214561462,0.0004997501249375,True,True,0.7049897313117981,0.2650524079799652,1,2.6598125883281427,0.4399373233318329,7.721555703993019,0.1530047465013325
13,redundancy_cumulative_exponence,mean,14,790,-0.667447030544281,-0.5764360427856445,0.0004997501249375,True,True,0.667447030544281,0.2960797548294067,1,2.2542812186832775,0.3713672757148742,8.98462105143722,0.2547104442821771
20,pronoun_richness_and_reduction,mean,22,14161,-0.8281378149986267,-0.8113958835601807,0.0004997501249375,True,True,0.8281378149986267,0.591001570224762,1,1.401244694973789,0.2371362447738647,3.1907818950814275,0.0802790759228797
20,pronoun_richness_and_reduction,mean,19,6944,-0.8313592672348022,-0.8597320914268494,0.0004997501249375,True,True,0.8313592672348022,0.6593186259269714,1,1.2609370258059214,0.1720406413078308,3.73726662782658,0.0942399233407159
20,pronoun_richness_and_reduction,mean,8,105,0.871849000453949,0.8883345127105713,0.0004997501249375,True,True,0.871849000453949,0.7070627212524414,1,1.2330575127898369,0.1647862792015075,2.8911882625936234,0.074546563620475
21,possession_and_alienability,mean,1,8666,-0.6268336772918701,-0.5676026344299316,0.0004997501249375,True,True,0.6268336772918701,0.7160583138465881,2,0.8753947341587127,-0.089224636554718,2.3502518936070897,0.0603344092187313
21,possession_and_alienability,mean,4,15325,0.5251805782318115,0.4831566214561462,0.0004997501249375,True,True,0.5251805782318115,0.6209551692008972,3,0.8457624709166407,-0.0957745909690857,2.4892759499270043,0.074187558976172
21,possession_and_alienability,mean,2,7918,0.6047208905220032,0.5456935167312622,0.0004997501249375,True,True,0.6047208905220032,0.9098673462867736,10,0.6646253357590065,-0.3051464557647705,0.8724116080479829,0.0391175800375316
27,mirativity_stance_and_affect_marking,mean,9,6043,-0.9607529044151306,-0.9862663745880128,0.0004997501249375,True,True,0.9607529044151306,0.9083077311515808,1,1.057739432864959,0.0524451732635498,2.0083333640038217,0.0508546728965534
27,mirativity_stance_and_affect_marking,mean,2,8362,-0.9619462490081788,-0.9873464703559875,0.0004997501249375,True,True,0.9619462490081788,0.911047339439392,1,1.0558685672690806,0.0508989095687866,1.9034117946679827,0.0506678652191806
27,mirativity_stance_and_affect_marking,mean,3,785,-0.9618512392044068,-0.9846693277359008,0.0004997501249375,True,True,0.9618512392044068,0.911051869392395,1,1.0557590314214396,0.0507993698120117,1.8915454408198549,0.0503518501300586
31,subordination_and_embedding,mean,14,11461,0.9137725234031676,0.9631659388542176,0.0004997501249375,True,True,0.9137725234031676,0.6203399300575256,1,1.4730190321916428,0.2934325933456421,5.785884752296816,0.1329951449299358
31,subordination_and_embedding,mean,7,2726,0.9437970519065856,0.9816505908966064,0.0004997501249375,True,True,0.9437970519065856,0.6669044494628906,1,1.4151908158158155,0.276892602443695,3.5016183299015204,0.0816191761755448
31,subordination_and_embedding,mean,12,13999,0.9166191816329956,0.8648797869682312,0.0004997501249375,True,True,0.9166191816329956,0.6495229601860046,1,1.4112190604786354,0.2670962214469909,5.832652319199314,0.1144530308679934
38,speech_act_force_and_request_directness,mean,8,5707,0.4508524239063263,0.7154470086097717,0.0004997501249375,True,True,0.4508524239063263,0.4003647863864898,1,1.1261040911602511,0.0504876375198364,3.174357156183408,0.0885039977925109
38,speech_act_force_and_request_directness,mean,15,13976,0.4376081526279449,0.2388948202133178,0.0004997501249375,True,True,0.4376081526279449,0.5008820295333862,2,0.8736750907905675,-0.0632738769054412,2.0738055588160464,0.0580586538797175
38,speech_act_force_and_request_directness,mean,20,14406,0.4279492497444153,0.613838791847229,0.0004997501249375,True,True,0.4279492497444153,0.4896084666252136,3,0.8740642348246046,-0.0616592168807983,2.3948724665011945,0.0732733468421571
