variable_id,variable,feature_id,candidate_rank,train_effect,val_effect,specificity_rank,specificity_ratio,top_examples,unique_top_tokens,unique_languages
20,pronoun_richness_and_reduction,105,8,0.871849000453949,0.8883345127105713,1,1.2330575127898369,30,19,9
27,mirativity_stance_and_affect_marking,785,3,-0.9618512392044068,-0.9846693277359008,1,1.0557590314214396,30,2,2
13,redundancy_cumulative_exponence,790,14,-0.667447030544281,-0.5764360427856445,1,2.2542812186832775,30,1,1
31,subordination_and_embedding,2726,7,0.9437970519065856,0.9816505908966064,1,1.4151908158158155,30,17,7
4,case_marking,3534,13,0.5401284694671631,0.6634310483932495,1,1.2146621308888852,30,16,1
13,redundancy_cumulative_exponence,4814,11,0.7049897313117981,0.9284691214561462,1,2.6598125883281427,30,15,1
38,speech_act_force_and_request_directness,5707,8,0.4508524239063263,0.7154470086097717,1,1.1261040911602511,30,10,6
27,mirativity_stance_and_affect_marking,6043,9,-0.9607529044151306,-0.9862663745880128,1,1.057739432864959,30,5,6
20,pronoun_richness_and_reduction,6944,19,-0.8313592672348022,-0.8597320914268494,1,1.2609370258059214,30,13,8
21,possession_and_alienability,7918,2,0.6047208905220032,0.5456935167312622,10,0.6646253357590065,30,15,7
10,morphological_segmentation_type,8119,15,-0.7315304279327393,-0.6426119208335876,1,2.0640896443717307,30,8,6
27,mirativity_stance_and_affect_marking,8362,2,-0.9619462490081788,-0.9873464703559875,1,1.0558685672690806,30,8,4
21,possession_and_alienability,8666,1,-0.6268336772918701,-0.5676026344299316,2,0.8753947341587127,30,15,9
4,case_marking,9071,8,0.5862047672271729,0.7269218564033508,1,1.7271141505088417,30,3,1
4,case_marking,9920,23,-0.4803972542285919,-0.4313595294952392,1,1.7001214805139686,30,1,1
31,subordination_and_embedding,11461,14,0.9137725234031676,0.9631659388542176,1,1.4730190321916428,30,3,2
13,redundancy_cumulative_exponence,11745,25,0.6320487260818481,0.6974450945854187,1,2.741567380677774,30,23,2
38,speech_act_force_and_request_directness,13976,15,0.4376081526279449,0.2388948202133178,2,0.8736750907905675,30,26,12
31,subordination_and_embedding,13999,12,0.9166191816329956,0.8648797869682312,1,1.4112190604786354,30,17,8
20,pronoun_richness_and_reduction,14161,22,-0.8281378149986267,-0.8113958835601807,1,1.401244694973789,30,28,4
38,speech_act_force_and_request_directness,14406,20,0.4279492497444153,0.613838791847229,3,0.8740642348246046,30,1,3
21,possession_and_alienability,15325,4,0.5251805782318115,0.4831566214561462,3,0.8457624709166407,30,9,6
10,morphological_segmentation_type,15843,16,0.7314246892929077,0.3352487087249756,1,2.1615142843781054,30,3,1
10,morphological_segmentation_type,16361,5,-0.7973324060440063,-0.5562032461166382,1,2.036529136051975,30,8,8
