variable_id,variable,inspection_grade,ablation_role,split,intervention_kind,target_feature,intervention_feature,intervention_side,n_pairs,train_direction_norm,target_train_basis_mean_activation,target_train_changed_mean_activation,target_train_basis_fire_rate,target_train_changed_fire_rate,baseline_downstream_score,intervention_downstream_score,mean_attenuation,attenuation_fraction,attenuation_ci_low,attenuation_ci_high,attenuation_bootstrap_p,mean_final_repr_cosine_to_baseline
1,Subject expression / pro-drop,C,exploratory_causal,val,target,8041,8041,changed,50,1.0977576971054077,0.03793017938733101,0.045026931911706924,1.0,1.0,0.5333303213119507,0.5293677449226379,0.003962586522102356,0.007429891689553117,0.0022236599773168566,0.005570381239056586,0.0009995002498750624,0.999987503373516
1,Subject expression / pro-drop,C,exploratory_causal,val,matched_control,8041,9728,changed,50,1.0977576971054077,0.03793017938733101,0.045026931911706924,1.0,1.0,0.5333303213119507,0.5280364751815796,0.005293843448162079,0.00992601252285758,0.0038254771381616595,0.006810672670602798,0.0009995002498750624,0.999992910574045
1,Subject expression / pro-drop,C,exploratory_causal,val,matched_control,8041,7247,changed,50,1.0977576971054077,0.03793017938733101,0.045026931911706924,1.0,1.0,0.5333303213119507,0.5670097470283508,-0.033679395616054535,-0.06314922341787331,-0.0362761238515377,-0.031057382114231587,0.0009995002498750624,0.9999876390583955
1,Subject expression / pro-drop,C,exploratory_causal,val,matched_control,8041,1302,changed,50,1.0977576971054077,0.03793017938733101,0.045026931911706924,1.0,1.0,0.5333303213119507,0.5312855839729309,0.0020447441935539244,0.0038339170151136625,-0.0002092744186520576,0.004148391738533973,0.07296351824087956,0.9999898925951355
1,Subject expression / pro-drop,C,exploratory_causal,test,target,8041,8041,changed,50,1.0977576971054077,0.03793017938733101,0.045026931911706924,1.0,1.0,0.5156303644180298,0.5110974311828613,0.004532907009124756,0.008791000922222368,0.0024079536348581313,0.006588531762361525,0.0009995002498750624,0.9999849360787585
1,Subject expression / pro-drop,C,exploratory_causal,test,matched_control,8041,9728,changed,50,1.0977576971054077,0.03793017938733101,0.045026931911706924,1.0,1.0,0.5156303644180298,0.5107816457748413,0.00484866201877594,0.009403367903378654,0.002836449459195137,0.006741591438651083,0.0009995002498750624,0.9999914278112354
1,Subject expression / pro-drop,C,exploratory_causal,test,matched_control,8041,7247,changed,50,1.0977576971054077,0.03793017938733101,0.045026931911706924,1.0,1.0,0.5156303644180298,0.5354444980621338,-0.019814149141311646,-0.0384270409747398,-0.023596372887492178,-0.015925961375236514,0.0009995002498750624,0.9999936185249338
1,Subject expression / pro-drop,C,exploratory_causal,test,matched_control,8041,1302,changed,50,1.0977576971054077,0.03793017938733101,0.045026931911706924,1.0,1.0,0.5156303644180298,0.5125383734703064,0.0030919045209884645,0.005996358504755953,-0.0001166306436061859,0.0061998900175094605,0.05897051474262868,0.9999837345379419
2,basic_constituent_order,C,exploratory_causal,val,target,932,932,changed,50,0.8723062872886658,0.00033391817123629153,0.01651897467672825,0.04500000178813934,0.6549999713897705,0.8003606200218201,0.7974224090576172,0.002938305139541626,0.003671226527189106,0.0010241102874279022,0.0047686770856380425,0.001999000499750125,0.9999991098237275
2,basic_constituent_order,C,exploratory_causal,val,matched_control,932,1887,changed,50,0.8723062872886658,0.00033391817123629153,0.01651897467672825,0.04500000178813934,0.6549999713897705,0.8003606200218201,0.7991992831230164,0.001161469742655754,0.0014511830212537058,0.0008855472151190043,0.0014353310242295266,0.0009995002498750624,0.9999996061088129
